Date (GMT+1),Non-Renewable,Renewable,Day Ahead Auction (DK1),Day Ahead Auction (DK2)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)"
2022-01-01T00:00+01:00,684.24,3875,50.05,46.6
2022-01-01T01:00+01:00,667.67,3736.14,41.33,41.33
2022-01-01T02:00+01:00,664.94,3689.8,43.22,42.18
2022-01-01T03:00+01:00,667.02,3393.03,45.46,44.37
2022-01-01T04:00+01:00,668.57,3127.38,37.67,37.67
2022-01-01T05:00+01:00,668.95,2935.65,39.7,39.7
2022-01-01T06:00+01:00,675.79,2807.17,40.59,40.59
2022-01-01T07:00+01:00,676.95,2660.94,43.26,43.26
2022-01-01T08:00+01:00,778.12,2377.89,49.66,49.66
2022-01-01T09:00+01:00,923.45,1891.76,70.05,70.05
2022-01-01T10:00+01:00,950.89,1738.01,76.79,76.79
2022-01-01T11:00+01:00,957.46,1685.08,84.1,84.1
2022-01-01T12:00+01:00,1147.36,1917.45,94.74,94.74
2022-01-01T13:00+01:00,1168.05,1989.41,96.8,96.8
2022-01-01T14:00+01:00,1180.85,2202.94,97.17,97.17
2022-01-01T15:00+01:00,1242.85,2589.25,101.27,101.27
2022-01-01T16:00+01:00,1412.23,3289.43,126.6,126.6
2022-01-01T17:00+01:00,1602.68,3858.26,149.97,149.97
2022-01-01T18:00+01:00,1646.1,4428.91,146.33,146.33
2022-01-01T19:00+01:00,1548.47,4880.7,140.28,140.28
2022-01-01T20:00+01:00,1363.42,5139.4,121.88,121.88
2022-01-01T21:00+01:00,1183.61,5184.75,102.61,102.61
2022-01-01T22:00+01:00,1069.05,4979.73,95.12,95.12
2022-01-01T23:00+01:00,848.8,4835.73,83.11,83.11
2022-01-02T00:00+01:00,790.68,4165.62,57.08,34.73
2022-01-02T01:00+01:00,750.1,4046.86,52.59,34.39
2022-01-02T02:00+01:00,721.35,4045.07,48.97,34.36
2022-01-02T03:00+01:00,709.25,3819.01,34.94,34.1
2022-01-02T04:00+01:00,724.82,3903.12,29.56,29.56
2022-01-02T05:00+01:00,723.33,3900.55,33.97,33.97
2022-01-02T06:00+01:00,728.84,3786.46,34.52,34.52
2022-01-02T07:00+01:00,727.11,3749.74,41.8,41.8
2022-01-02T08:00+01:00,781.15,3727.93,48.95,48.95
2022-01-02T09:00+01:00,816.3,3585.44,60.01,60.01
2022-01-02T10:00+01:00,840.71,3428.35,70.09,70.09
2022-01-02T11:00+01:00,847.76,3065.27,66.26,66.26
2022-01-02T12:00+01:00,844.57,2722.84,64.54,64.54
2022-01-02T13:00+01:00,855.9,2268.32,46.96,46.96
2022-01-02T14:00+01:00,949.75,2300.18,49.06,49.06
2022-01-02T15:00+01:00,1022.43,2582.49,74.99,74.99
2022-01-02T16:00+01:00,1003.9,3160.78,88.15,88.15
2022-01-02T17:00+01:00,1168.23,3666.54,95.4,95.4
2022-01-02T18:00+01:00,944.79,4277.09,87.84,86.71
2022-01-02T19:00+01:00,814.6,4885.15,71.27,71.27
2022-01-02T20:00+01:00,795.17,4973.53,54.12,54.12
2022-01-02T21:00+01:00,814.66,4816.29,46.16,46.16
2022-01-02T22:00+01:00,780.19,4469.25,46.29,46.29
2022-01-02T23:00+01:00,758.61,4035.51,32.93,32.93
2022-01-03T00:00+01:00,769.62,3697.12,13.2,13.2
2022-01-03T01:00+01:00,775.98,3506.21,19.92,19.92
2022-01-03T02:00+01:00,768.94,3356.27,19.87,19.87
2022-01-03T03:00+01:00,712.93,3380.04,13.24,13.24
2022-01-03T04:00+01:00,702.31,3781.39,0.1,13.29
2022-01-03T05:00+01:00,715.35,4395.05,0.32,9.24
2022-01-03T06:00+01:00,773.51,4889,37.55,37.55
2022-01-03T07:00+01:00,796.31,5120.5,88.76,88.76
2022-01-03T08:00+01:00,856.23,5249.69,122.93,122.93
2022-01-03T09:00+01:00,959.2,5839.09,110.17,110.17
2022-01-03T10:00+01:00,857.23,6112.57,93.38,93.38
2022-01-03T11:00+01:00,805.73,6359.91,90.73,90.73
2022-01-03T12:00+01:00,793.03,6469.81,82.37,82.37
2022-01-03T13:00+01:00,828.24,6476.85,80.9,80.9
2022-01-03T14:00+01:00,842.47,6395.23,80.99,80.99
2022-01-03T15:00+01:00,974.16,6463.86,98.05,98.05
2022-01-03T16:00+01:00,1121.42,6448.26,120.55,120.55
2022-01-03T17:00+01:00,1341.45,6571.35,139.57,139.57
2022-01-03T18:00+01:00,1269.19,6237.77,134.69,134.69
2022-01-03T19:00+01:00,1081.52,5671.41,114.82,114.82
2022-01-03T20:00+01:00,1108.01,5127.67,117.71,92.91
2022-01-03T21:00+01:00,1179.12,4537.68,95.95,72.39
2022-01-03T22:00+01:00,1150.45,4166.35,105.68,39.45
2022-01-03T23:00+01:00,1157.01,3777.59,95.26,34.4
2022-01-04T00:00+01:00,1122.42,3324.83,103.7,39.99
2022-01-04T01:00+01:00,1140.01,3018.69,108.27,37.14
2022-01-04T02:00+01:00,1139,2818.89,105.92,36.66
2022-01-04T03:00+01:00,1123.59,2861.94,103.41,38.64
2022-01-04T04:00+01:00,1128.37,2818.7,102.71,41.02
2022-01-04T05:00+01:00,1292.73,2551.25,114.23,93.97
2022-01-04T06:00+01:00,1459.7,2600.85,130.17,130.17
2022-01-04T07:00+01:00,1520.02,2848.12,182.64,182.64
2022-01-04T08:00+01:00,1700.48,2806.28,174.61,174.61
2022-01-04T09:00+01:00,1812.45,2937.8,171.63,185.44
2022-01-04T10:00+01:00,1786.78,3107.14,172.29,185.32
2022-01-04T11:00+01:00,1761.5,3391.1,164.62,178.04
2022-01-04T12:00+01:00,1781.82,3736.49,159.98,178.08
2022-01-04T13:00+01:00,1729.73,3605.71,155.69,175.28
2022-01-04T14:00+01:00,1751.27,3823.25,155.16,174.7
2022-01-04T15:00+01:00,1835.2,3956.14,158.45,180.93
2022-01-04T16:00+01:00,1852.94,3988.84,161.35,166.69
2022-01-04T17:00+01:00,1895.42,4214.63,167.76,185.32
2022-01-04T18:00+01:00,1872.97,4531.95,164.46,180.5
2022-01-04T19:00+01:00,1858.55,5119.43,153.88,153.88
2022-01-04T20:00+01:00,1600.86,5448.32,146.81,146.81
2022-01-04T21:00+01:00,1524.31,5638.07,128.75,128.75
2022-01-04T22:00+01:00,1387.52,5623.26,112.96,112.96
2022-01-04T23:00+01:00,1184.16,5524.92,84.11,84.11
2022-01-05T00:00+01:00,821.35,5577.69,93.87,93.87
2022-01-05T01:00+01:00,731.46,5660.56,51.69,51.69
2022-01-05T02:00+01:00,697.76,5136.35,50.04,50.04
2022-01-05T03:00+01:00,703.98,4940.17,49.53,49.53
2022-01-05T04:00+01:00,736.05,4827.66,50.07,50.07
2022-01-05T05:00+01:00,906.45,4790.6,93.39,93.39
2022-01-05T06:00+01:00,1026.84,4723.61,99.16,99.16
2022-01-05T07:00+01:00,1471.04,4418.01,101.15,101.15
2022-01-05T08:00+01:00,1499.43,4058.43,129.56,129.56
2022-01-05T09:00+01:00,1539.96,3786.65,121.09,121.09
2022-01-05T10:00+01:00,1497.94,3948.55,135.05,135.05
2022-01-05T11:00+01:00,1561.67,4208.23,129.99,129.99
2022-01-05T12:00+01:00,1480.23,4435.79,131.97,131.97
2022-01-05T13:00+01:00,1548.34,4699.79,130.67,130.67
2022-01-05T14:00+01:00,1490.6,4920.96,121.39,121.39
2022-01-05T15:00+01:00,1644.49,4651.49,122.42,122.42
2022-01-05T16:00+01:00,1771.21,4419.16,137.28,137.28
2022-01-05T17:00+01:00,1886.35,4456.94,148.09,148.09
2022-01-05T18:00+01:00,1783.38,4376.99,139.88,139.88
2022-01-05T19:00+01:00,1595.44,4521.28,135.75,135.75
2022-01-05T20:00+01:00,1315.01,4464.35,119.93,119.93
2022-01-05T21:00+01:00,1201.52,4297.48,98.09,98.09
2022-01-05T22:00+01:00,1366.12,3974.39,118.71,118.71
2022-01-05T23:00+01:00,1496.55,3985.14,99.68,97.29
2022-01-06T00:00+01:00,1083.41,4116.28,99.85,93.29
2022-01-06T01:00+01:00,1081.8,3899.32,101.32,80.77
2022-01-06T02:00+01:00,1156.21,3559.71,110.01,78.08
2022-01-06T03:00+01:00,1265.45,3168.19,111.55,81.97
2022-01-06T04:00+01:00,1429.96,2881.87,123.37,89.31
2022-01-06T05:00+01:00,1589.48,2531.86,149.94,89.75
2022-01-06T06:00+01:00,1901.87,2166.43,121.09,97.06
2022-01-06T07:00+01:00,2200.53,1999.57,193.79,193.79
2022-01-06T08:00+01:00,2311.14,2008.75,228.92,228.92
2022-01-06T09:00+01:00,2283.52,2030.92,212.9,212.9
2022-01-06T10:00+01:00,2396.38,2156.8,215.5,215.5
2022-01-06T11:00+01:00,2480.72,2119.49,231.9,231.9
2022-01-06T12:00+01:00,2491.87,2006.96,226,226
2022-01-06T13:00+01:00,2484.05,1905.46,209.2,209.2
2022-01-06T14:00+01:00,2458.3,1728.26,216.06,216.06
2022-01-06T15:00+01:00,2493.72,1602.54,230.77,230.77
2022-01-06T16:00+01:00,2474.01,1823.51,245.95,245.95
2022-01-06T17:00+01:00,2565.2,2087.68,274.11,274.11
2022-01-06T18:00+01:00,2567.82,2461.81,273.44,273.44
2022-01-06T19:00+01:00,2308.26,2825.98,219.77,240.02
2022-01-06T20:00+01:00,2163.12,3115.2,217.91,217.91
2022-01-06T21:00+01:00,1953.56,3320.45,203.31,203.31
2022-01-06T22:00+01:00,1978.57,3622.09,171.31,171.31
2022-01-06T23:00+01:00,1797.86,3834.66,124.7,124.7
2022-01-07T00:00+01:00,1460.13,4110.99,128.92,128.92
2022-01-07T01:00+01:00,1179.5,4472.97,116.65,116.65
2022-01-07T02:00+01:00,1098.14,4758.31,100.54,100.54
2022-01-07T03:00+01:00,1141.13,5306.5,99.47,99.47
2022-01-07T04:00+01:00,1139.67,5557.42,101.74,101.74
2022-01-07T05:00+01:00,1065.48,5657.43,114.99,114.99
2022-01-07T06:00+01:00,1343.59,5833.09,140.19,140.19
2022-01-07T07:00+01:00,1820.71,5755.4,152.64,152.64
2022-01-07T08:00+01:00,2211.22,5437.24,160.97,160.97
2022-01-07T09:00+01:00,2239.63,4791.83,161.85,161.85
2022-01-07T10:00+01:00,2399.61,4755.35,161.37,161.37
2022-01-07T11:00+01:00,2102.79,4689.48,166.06,166.06
2022-01-07T12:00+01:00,2008.35,4572.09,166.54,166.54
2022-01-07T13:00+01:00,2109.14,4588.22,165.97,165.97
2022-01-07T14:00+01:00,2105.33,4201.52,165.36,165.36
2022-01-07T15:00+01:00,2028.96,4007.01,185.03,185.15
2022-01-07T16:00+01:00,2214.63,3684.57,201.56,201.56
2022-01-07T17:00+01:00,2225.82,3428.13,243.11,243.11
2022-01-07T18:00+01:00,2263.52,3626.91,247.72,247.72
2022-01-07T19:00+01:00,2052.35,3883.69,187.5,187.5
2022-01-07T20:00+01:00,2066.39,3803.47,160.5,160.5
2022-01-07T21:00+01:00,2073.79,3603.24,157.95,157.95
2022-01-07T22:00+01:00,1796.63,3469.42,153.9,153.9
2022-01-07T23:00+01:00,1765.79,3557.03,144.76,144.76
2022-01-08T00:00+01:00,1635.4,3396.36,153.03,153.03
2022-01-08T01:00+01:00,1697.76,3187.1,146.08,146.08
2022-01-08T02:00+01:00,1643.04,3261.92,144.64,144.64
2022-01-08T03:00+01:00,1499.17,3642.89,145.74,145.74
2022-01-08T04:00+01:00,1308.19,3561.12,146.97,146.97
2022-01-08T05:00+01:00,1570.63,3743.19,146.88,146.88
2022-01-08T06:00+01:00,1649.45,4280.25,146.56,146.56
2022-01-08T07:00+01:00,1728.1,4672.55,147.18,147.18
2022-01-08T08:00+01:00,1875.57,4742.64,153.66,153.66
2022-01-08T09:00+01:00,1898.43,4702.27,156.07,156.07
2022-01-08T10:00+01:00,1695.89,4792.2,159.08,159.08
2022-01-08T11:00+01:00,1719.32,4360.65,158.5,158.5
2022-01-08T12:00+01:00,1805.14,4125.62,158.79,158.79
2022-01-08T13:00+01:00,1890.26,4007.71,156.07,156.07
2022-01-08T14:00+01:00,1817.27,3739.46,156.18,156.18
2022-01-08T15:00+01:00,2000.07,3685.74,158.89,158.89
2022-01-08T16:00+01:00,2160.11,3688.07,161,161
2022-01-08T17:00+01:00,2035.37,3696.51,189.9,189.9
2022-01-08T18:00+01:00,2050.01,3863.79,170.71,170.71
2022-01-08T19:00+01:00,1827.37,4153.4,140.23,140.08
2022-01-08T20:00+01:00,1362.94,4273.75,102.54,105.07
2022-01-08T21:00+01:00,1225.19,4339.95,104.85,104.85
2022-01-08T22:00+01:00,1158.47,4462.06,104.8,104.8
2022-01-08T23:00+01:00,1070.48,4708.11,90.05,90.05
2022-01-09T00:00+01:00,960.58,4909.26,85.03,85.03
2022-01-09T01:00+01:00,910.42,5071.62,84.4,84.4
2022-01-09T02:00+01:00,882.69,5053.26,80.24,80.24
2022-01-09T03:00+01:00,858.38,5023.15,55.46,55.46
2022-01-09T04:00+01:00,854.52,5030.47,49.29,49.29
2022-01-09T05:00+01:00,891.16,4969.36,50.64,50.64
2022-01-09T06:00+01:00,923.86,4849.22,74.29,74.29
2022-01-09T07:00+01:00,942.42,4706.69,84.44,84.44
2022-01-09T08:00+01:00,1177.65,4577.95,97.26,97.26
2022-01-09T09:00+01:00,1381.34,4397.45,119.97,119.97
2022-01-09T10:00+01:00,1642.57,4022.68,134.96,134.96
2022-01-09T11:00+01:00,1778.37,3784.68,145.82,145.82
2022-01-09T12:00+01:00,1827.51,3472.43,157.14,157.14
2022-01-09T13:00+01:00,1972.04,3248.61,154.66,154.66
2022-01-09T14:00+01:00,2166.27,3089.02,154.88,154.88
2022-01-09T15:00+01:00,2329.97,3012.41,158.37,158.37
2022-01-09T16:00+01:00,2383.91,3302.29,186.37,186.37
2022-01-09T17:00+01:00,2342.99,3381.11,223.3,223.3
2022-01-09T18:00+01:00,2301.57,3247.4,243.19,243.19
2022-01-09T19:00+01:00,2287.39,3027.45,209.65,209.65
2022-01-09T20:00+01:00,2214.71,2964.97,155.07,155.07
2022-01-09T21:00+01:00,2152.5,2836.9,159.38,159.38
2022-01-09T22:00+01:00,1922.02,2731.22,148.23,148.23
2022-01-09T23:00+01:00,1879.53,2646.18,144.79,144.79
2022-01-10T00:00+01:00,1830.19,2626.52,144.28,144.28
2022-01-10T01:00+01:00,1810.69,2701.5,138.09,138.09
2022-01-10T02:00+01:00,1733.59,2802.7,133.81,133.81
2022-01-10T03:00+01:00,1765.5,2872.03,136.44,136.44
2022-01-10T04:00+01:00,1752.24,3063.49,142.99,142.99
2022-01-10T05:00+01:00,1802.42,3179.65,152.09,152.09
2022-01-10T06:00+01:00,2046.48,2984.22,231.74,231.74
2022-01-10T07:00+01:00,2251.7,2973.94,299.95,299.95
2022-01-10T08:00+01:00,2390.7,2883.88,313.92,313.92
2022-01-10T09:00+01:00,2389.31,2971.5,315,315
2022-01-10T10:00+01:00,2382.25,2876.42,310.41,310.41
2022-01-10T11:00+01:00,2381.76,2944.24,310.08,310.08
2022-01-10T12:00+01:00,2610.18,2959.68,300,300
2022-01-10T13:00+01:00,2580.86,2964.62,297.01,297.01
2022-01-10T14:00+01:00,2529.52,2778.08,299.96,299.96
2022-01-10T15:00+01:00,2490.22,2581.27,291.3,306.45
2022-01-10T16:00+01:00,2545.74,2525.83,301.22,302.73
2022-01-10T17:00+01:00,2702.62,2650.98,309.9,315.47
2022-01-10T18:00+01:00,2694.36,2597.02,310.82,310.82
2022-01-10T19:00+01:00,2601.84,2638.03,294.98,294.98
2022-01-10T20:00+01:00,2384.08,2760.76,261.03,261.03
2022-01-10T21:00+01:00,2189.53,2730.22,211,242.23
2022-01-10T22:00+01:00,1984.26,2843.09,211.83,211.83
2022-01-10T23:00+01:00,1828.49,2850.19,150.09,150.09
2022-01-11T00:00+01:00,1703.44,2768.67,151.9,151.9
2022-01-11T01:00+01:00,1772.12,2741.49,148.05,148.05
2022-01-11T02:00+01:00,1826.55,2697.55,144.4,144.4
2022-01-11T03:00+01:00,1732.91,2656.11,144.15,144.15
2022-01-11T04:00+01:00,1779.5,2618.42,145.79,145.79
2022-01-11T05:00+01:00,1842.46,2677.65,151.49,151.49
2022-01-11T06:00+01:00,2074.6,2942.95,147.5,231.44
2022-01-11T07:00+01:00,2269.43,3415.61,161.33,291.51
2022-01-11T08:00+01:00,2339.11,3596.93,158.35,300.02
2022-01-11T09:00+01:00,2358.39,3782.48,158.12,297.16
2022-01-11T10:00+01:00,2195.64,3879.36,158.05,275.67
2022-01-11T11:00+01:00,2189.37,4040.89,160.83,264.4
2022-01-11T12:00+01:00,2081.88,4050.95,158.36,252.59
2022-01-11T13:00+01:00,1971.26,4153.32,157.6,248.38
2022-01-11T14:00+01:00,1905,4202.5,157.67,248.89
2022-01-11T15:00+01:00,2053.93,4229.15,158.56,271.23
2022-01-11T16:00+01:00,2152.14,4206.22,161.11,282.98
2022-01-11T17:00+01:00,2363.15,4072.72,173.63,308.81
2022-01-11T18:00+01:00,2382.45,3547.41,168.02,308.32
2022-01-11T19:00+01:00,2302.64,3021.78,157.99,279.2
2022-01-11T20:00+01:00,2062.82,2763.7,157.71,174.7
2022-01-11T21:00+01:00,2021.99,2488.03,158.21,158.21
2022-01-11T22:00+01:00,1989.76,2196.55,155.06,155.06
2022-01-11T23:00+01:00,1951.43,2050.28,149.7,149.7
2022-01-12T00:00+01:00,1521.86,2020.39,147.62,147.62
2022-01-12T01:00+01:00,1375.91,2098.32,145.09,145.09
2022-01-12T02:00+01:00,1374.23,2164.16,143.67,143.67
2022-01-12T03:00+01:00,1394.31,2028.11,143.41,143.41
2022-01-12T04:00+01:00,1422.62,2083.12,144.31,144.31
2022-01-12T05:00+01:00,1559.68,2131.8,146.02,146.02
2022-01-12T06:00+01:00,1686.4,2148.61,146.05,213.87
2022-01-12T07:00+01:00,1767.07,2294.62,150.93,266.63
2022-01-12T08:00+01:00,1852.28,2657.07,153.44,292.9
2022-01-12T09:00+01:00,1813.62,3051.45,150.4,285.71
2022-01-12T10:00+01:00,1908.03,3285.87,147.9,268.88
2022-01-12T11:00+01:00,1842.99,3365.87,144.38,252.44
2022-01-12T12:00+01:00,1797.52,3449.29,144.18,193.76
2022-01-12T13:00+01:00,1629.28,3759.97,143.19,143.19
2022-01-12T14:00+01:00,1517.48,4103.24,133.35,133.35
2022-01-12T15:00+01:00,1635.62,4389.63,132.59,132.59
2022-01-12T16:00+01:00,1685.65,4436.16,132.67,132.67
2022-01-12T17:00+01:00,1706.71,4489.69,139.38,139.38
2022-01-12T18:00+01:00,1681.41,4534.29,124.59,124.59
2022-01-12T19:00+01:00,1386.14,4815.62,105.78,105.78
2022-01-12T20:00+01:00,1094.19,4975.55,79.64,21.01
2022-01-12T21:00+01:00,951.76,5161.04,100.03,20.14
2022-01-12T22:00+01:00,848.18,5314.45,67.3,18.12
2022-01-12T23:00+01:00,791.55,5377.59,44.75,13.62
2022-01-13T00:00+01:00,667.16,5213.94,13.09,13.09
2022-01-13T01:00+01:00,624.45,5354.71,11.4,11.4
2022-01-13T02:00+01:00,633.86,5297.06,10.57,10.57
2022-01-13T03:00+01:00,631.5,5302.98,10.47,10.47
2022-01-13T04:00+01:00,629.38,5299.2,10.86,10.86
2022-01-13T05:00+01:00,633.67,5121.41,13.23,13.23
2022-01-13T06:00+01:00,651.96,5212.02,15.33,15.33
2022-01-13T07:00+01:00,836.41,5203.63,21.01,21.01
2022-01-13T08:00+01:00,951.32,5426.66,25.63,25.63
2022-01-13T09:00+01:00,907.35,5590.97,25.62,25.62
2022-01-13T10:00+01:00,889.47,5785.18,25.61,25.61
2022-01-13T11:00+01:00,907.54,5799.23,24.22,24.22
2022-01-13T12:00+01:00,940.52,5876.41,21.41,21.41
2022-01-13T13:00+01:00,929.42,5629.8,18.22,18.22
2022-01-13T14:00+01:00,951.98,5606.47,17.68,17.68
2022-01-13T15:00+01:00,995.01,5357.56,18.82,18.82
2022-01-13T16:00+01:00,980.42,5583.01,19.66,19.66
2022-01-13T17:00+01:00,954.47,5814.08,36.3,36.3
2022-01-13T18:00+01:00,904.17,5784.02,23.66,23.66
2022-01-13T19:00+01:00,820.03,5398.07,19.82,19.82
2022-01-13T20:00+01:00,709.22,5295.96,18.06,18.06
2022-01-13T21:00+01:00,641.51,5109.47,17.82,17.82
2022-01-13T22:00+01:00,585.79,5149.5,14.92,14.92
2022-01-13T23:00+01:00,581.78,5496.72,11.49,11.49
2022-01-14T00:00+01:00,554.51,4887.16,26.64,14.93
2022-01-14T01:00+01:00,568.45,4711.29,23.8,12.56
2022-01-14T02:00+01:00,590.94,4642.89,20.45,11.4
2022-01-14T03:00+01:00,595.38,4643.22,19.81,11.42
2022-01-14T04:00+01:00,608.28,4643.37,13.18,13.18
2022-01-14T05:00+01:00,659.16,4692.97,16.96,16.14
2022-01-14T06:00+01:00,711.25,4712.74,19.24,19.24
2022-01-14T07:00+01:00,747.06,5020.27,44.86,44.86
2022-01-14T08:00+01:00,778.62,5048.44,71.64,71.64
2022-01-14T09:00+01:00,791.8,5220.22,68.73,68.73
2022-01-14T10:00+01:00,822.24,5147.48,75.21,75.21
2022-01-14T11:00+01:00,795.12,5123.35,76.85,76.85
2022-01-14T12:00+01:00,887.19,5103.85,110.71,68.38
2022-01-14T13:00+01:00,884.38,4899.65,125.5,52.07
2022-01-14T14:00+01:00,956.96,4388.34,128.89,52.09
2022-01-14T15:00+01:00,945.98,3942.89,132.04,70
2022-01-14T16:00+01:00,1035.76,3635.41,133.69,133.69
2022-01-14T17:00+01:00,1362.53,3533.09,141.68,141.68
2022-01-14T18:00+01:00,1623.52,3455.55,143.55,143.55
2022-01-14T19:00+01:00,1612.83,3387.67,145.49,145.49
2022-01-14T20:00+01:00,1691.05,3151.66,137.02,137.02
2022-01-14T21:00+01:00,1771.78,2864.91,145.63,145.63
2022-01-14T22:00+01:00,1851.25,2358.63,145.17,145.17
2022-01-14T23:00+01:00,1903.69,2144.01,144.7,144.7
2022-01-15T00:00+01:00,2001.61,1947.82,160.19,160.19
2022-01-15T01:00+01:00,1963.08,1850.72,144.75,144.75
2022-01-15T02:00+01:00,1937.32,1797.41,144.4,144.4
2022-01-15T03:00+01:00,1903.46,1879.26,144.44,144.44
2022-01-15T04:00+01:00,1905.43,1790.96,144.76,144.76
2022-01-15T05:00+01:00,1959.78,1668.37,146.42,146.42
2022-01-15T06:00+01:00,1942.49,1671.28,146.8,146.8
2022-01-15T07:00+01:00,2055.18,1704.82,147.22,147.22
2022-01-15T08:00+01:00,2240.22,1659.31,191.39,191.39
2022-01-15T09:00+01:00,2227.47,1789.49,230,230
2022-01-15T10:00+01:00,2266.23,1880.54,209.6,209.6
2022-01-15T11:00+01:00,2220.63,1987.19,202.3,202.3
2022-01-15T12:00+01:00,2243.84,2070.7,162.62,162.62
2022-01-15T13:00+01:00,2257.82,2051.62,157.61,157.61
2022-01-15T14:00+01:00,2245.85,1987.67,154.99,154.99
2022-01-15T15:00+01:00,2248.46,2014.87,179.91,179.91
2022-01-15T16:00+01:00,2363.97,2182.03,220.89,220.89
2022-01-15T17:00+01:00,2415.89,2464.15,253.76,253.76
2022-01-15T18:00+01:00,2270.39,2659.97,209.84,209.84
2022-01-15T19:00+01:00,2188.3,2717.72,153.67,153.67
2022-01-15T20:00+01:00,2099.48,2822.65,144.95,144.95
2022-01-15T21:00+01:00,1732.36,2919.45,148.55,148.55
2022-01-15T22:00+01:00,1620.12,3106.14,144.15,144.15
2022-01-15T23:00+01:00,1552.2,3285.18,141.99,141.99
2022-01-16T00:00+01:00,1417.12,3470.72,133.01,133.01
2022-01-16T01:00+01:00,1398.93,3694.21,132.17,132.17
2022-01-16T02:00+01:00,1363.26,3738.68,130,130
2022-01-16T03:00+01:00,1382.82,3792.74,129.77,129.77
2022-01-16T04:00+01:00,1392.99,3697.38,129.68,101.24
2022-01-16T05:00+01:00,1344.93,3710.28,129.52,17.99
2022-01-16T06:00+01:00,1281.56,3597.83,118.71,17.97
2022-01-16T07:00+01:00,1247.17,3765.39,119.45,18.58
2022-01-16T08:00+01:00,1267.86,3863.13,124.68,16.85
2022-01-16T09:00+01:00,1393.27,3851.55,123.62,17.46
2022-01-16T10:00+01:00,1249,4211.79,124.15,17.53
2022-01-16T11:00+01:00,1111.53,4794.43,121.39,16.47
